거래처명,구분,사업자번호,대표자명,업태,종목,주소,전화번호,팩스번호,휴대폰,이메일,대신화물_지점,경동화물_지점,담당자명,담당자연락처,메모,사용여부
하동 일성철물,고객업체 (판매),,,,,,,,,,,,,,,비활성
경기철물,고객업체 (판매),,,,,,,,,,,,,,,비활성
주식회사 광명종합상사,고객업체 (판매),,최우중,도소매,"농자재,철물,산업안전용품",강원도 원주시 소초면 치악로 2902,033-731-0372,033-731-0386,,,,,,,,비활성
더 이룸,고객업체 (판매),,,,,,,,,,,,,,,비활성
혜성기업,혼합 (판매+구매),,황정일,,,부산시 사상구 낙동대로 1062번길 45,051-907-5551,051-327-3331,,,,,,,,비활성
우남농자재,고객업체 (판매),,,,,,,,,,,,,,,비활성
명성철강,고객업체 (판매),,,,,,,,,,,,,,,비활성
(주)극동건재철강상사,고객업체 (판매),,,,,충남 논산시 대교동 86-1,041-735-2421,041-735-4537,,,,,,,,비활성
남면철물,고객업체 (판매),,,,,,,,,,,,,,,비활성
금성철물(금산),고객업체 (판매),,오민철,,,충남 금산군 추부면 마전리 456,,,,,,,,,,비활성
우성종합상사,고객업체 (판매),,전용기,도소매,안전용품외,강원도 동해시 발한로 208-2(발한동),033-535-7999,033-531-6211,,,,,,,,비활성
더좋은어닝,고객업체 (판매),,김원기,,,,,,,,,,,,,비활성
광재스텐,고객업체 (판매),,배정현,,"벤딩,스텐대문,난간대등",충남 논산시 강변로176번길 (부창동 409-7),041-735-1555,041-735-1556,,,,,,,,비활성
구일공구철물,고객업체 (판매),,이용회,도소매,"철물,안전용품",경상북도 영주시 선비로 144(휴천동),054-635-9109,054-637-9109,,,,,,,,비활성
성진종합철물건재,고객업체 (판매),,김만영,도매및상품중개업외,일반철물및수공구외,충청북도 청주시 서원구 2순환로 1479-1(죽림동),043-286-0481,043-286-0489,,,,,,,,비활성
대성건재건축자재,고객업체 (판매),,,,,경남 통영시 도천5길 45,055-646-6524,055-646-6522,,,,,,,,비활성
하나공구,고객업체 (판매),240523-1,김종호,"도소매,제조업","공구및철물,안전용품등","전북 군산시 가도로 21, 101호-103호(오식도동)",063-443-0982,063-442-0982,,,,,,,,비활성
대림유압공구,고객업체 (판매),,이영욱,,유압호스제작,경북 안동시 안기천로 53(태화동),054-843-0905,054-843-0906,,,,,,,,비활성
영양건축자재백화점,고객업체 (판매),,유명화,도소매,"철물,건재,안전용품",경북 영양군 영양읍 서부리 247-21,054-682-6622,054-682-6623,,,,,,,,비활성
안동장갑안전,고객업체 (판매),,이미순,"도매,건설",일반철물및 수공구,경상북도 안동시 태화중앙로 79(태화동),054-852-9160,054-857-6068,,,,,,,,비활성
대흥,고객업체 (판매),,김영옥,도소매,"철물,안전,전기,건설자재재",경상북도 안동시 충효로 4433,054-841-0903,,,,,,,,,비활성
믿음철물,고객업체 (판매),240520,연제후,도소매외,철물외,강원도 원주시 단계동 910-14,033-748-3522,033-745-1041,,,,,,,,비활성
연산종합건재,고객업체 (판매),,김상섭,,,충남 논산시 연산면 신암길 11,041-736-2488,041-736-2489,,,,,,,,비활성
농업회사법인주식회사 진향,고객업체 (판매),,안병옥,"제조,건설 도소매","철물구조,비닐,온실하우스시공등등","전라남도 보성군 보성읍 현충로 107, 3층",061-853-8880,0504-0007-9910,,,,,,,,비활성
평양철물,고객업체 (판매),,김윤배,소매업,철물,강원도 양구군 양구읍 해시계로 18,033-481-2345,,,,,,,,,비활성
진품건축자재,고객업체 (판매),240511,박병욱,도소매,"목재,건재,철물등",경남 거창군 거창읍 수남로 2247,055-945-1707,055-945-1709,,,,,,,,비활성
주식회사서종인더스,고객업체 (판매),240509-2,이문수,도소매,그외기타 건축자재 도매업,"서울특별시 동대문구 청계천로 425,611호",02-2235-3044,02-2235-3046,,,,,,,,비활성
효성종합건재,고객업체 (판매),,김은옥,,,충남 홍성군 홍북읍 상하리 19-25,041-631-3313,041-634-4400,,,,,,,,비활성
서울볼트철물,고객업체 (판매),,임용기,도매및소매업,"볼트,철물외",세종특별자치시 금남면 용포로 43,,,,,,,,,,비활성
국제철물상사,고객업체 (판매),,김명식,"도,소매",건축자재외,충청남도 금산군 금산읍 금산로 1501,041-752-5351,041-751-3125,,,,,,,,비활성
덕유철물,고객업체 (판매),240426,이정제,도소매,"건축자재,안전용품",전북 무주군 설천면 구천동로 964,,,,,,,,,,비활성
명신철물건재,고객업체 (판매),,,,,,,,,,,,,,,비활성
신양철물건재,고객업체 (판매),,박재환,,철물일체,충남 예산군 신양면 청신로 352,041-332-7856,,,,,,,,,비활성
신광철물 유영찬,고객업체 (판매),,,,,,,,,,,,,,,비활성
다원,고객업체 (판매),,조경환,도소매,산업기자재 소모품,"충북 청주시 흥덕구 강내면 서부로541,1층 101호",043-232-1241,043-236-4050,,,,,,,,비활성
대전수도상사,혼합 (판매+구매),240418,김진원,도소매,"철물,배관자재,보일러","대전시 서구 변동로 14,1층",,,,,,,,,,비활성
(주)태진산업,고객업체 (판매),,박민영,도소매,"철만물,기계공구",광주광역시 광산구 사암로 734(도천동),062-959-0989,062-953-1211,,,,,,,,비활성
천의철물,고객업체 (판매),,백종수,,,충남 당진시 정미면4.4만세로  707,041-353-2036,,,,,,,,,비활성
미성건재,고객업체 (판매),,,,,충남 서산산,,,,,,,,,,비활성
한솔건재,고객업체 (판매),,,,,공주 유구,,,,,,,,,,비활성
금진건축자재백화점,고객업체 (판매),240403,윤일구,"도소매,건설","건축자재,실내장식등","경남 진주시 남강로 689, 1층",055-744-1238,055-744-1218,,,,,,,,비활성
금호농자재,고객업체 (판매),,,,,,,,,,,,,,,비활성
세종장군공구,고객업체 (판매),,김종석,,"공구,철물,원예공구",세종시 장군면 장기초교길80,,,,,,,,,,비활성
예민건설산업,고객업체 (판매),,,,,,,,,,,,,,,비활성
신우종합건재상사,고객업체 (판매),,윤성진,"도,소매",건축자재판매,충청남도 청양군 비봉면 충절로 1606-3,041-944-0555,041-944-0551,,,,,,,,비활성
한솔만물상,고객업체 (판매),,김강식,도매및소매업,종합자재,경상북도 문경시 경서로 162(점촌동),054-553-1202,054-553-9966,,,,,,,,비활성
은성기계,고객업체 (판매),,,,,충남 태안군 태안읍 원이로 59,,,,,,,,,,비활성
문화건재,고객업체 (판매),,,,,,,,,,,,,,,비활성
삼봉철물점,고객업체 (판매),,김원곤,,,전북 완주군 삼례읍 왕궁로 27,063-291-6034,,,,,,,,,비활성
대흥농기구,고객업체 (판매),,김동균,,,"충남 금산군 금산읍 인삼로 174,1층101호",,,,,,,,,,비활성
대동종합모터,고객업체 (판매),,,,,전남 함평군 대동면 학동로 449,,,,,,,,,,비활성
티롤릿 이다훈,혼합 (판매+구매),,,,,,,,,,,,,,,비활성
대륙종합건재,고객업체 (판매),240226,이재욱,도소매업,건축자재및안전용품,충청북도 청주시 흥덕구 오송읍 봉산2길 31-1,043-293-2989,043-293-4298,,,,,,,,비활성
화신공구,고객업체 (판매),240222,허천욱,도소매매,"철물,공구구",전라북도 익산시 인화동1가 203,063-843-3569,063-843-1970,,,,,,,,비활성
일등공구,고객업체 (판매),,이미경,도소매.제조,기계부품 공구 일반철물,"대구광역시 달서구 성서서로36길 5-4,103호(갈산동)",053-581-0093,053-582-0093,,,,,,,,비활성
지원에스티,고객업체 (판매),,박성일,도소매매,"연마재,철물및공구 통신판매매","부산광역시 강서구 유통단지1로50, 214동106호",051-914-2027,051-914-2028,,,,,,,,비활성
엔케이엠알오,고객업체 (판매),,김재욱,도소매,"산업기자재,사무,전산용품","서욱특별시 강남구 삼성로 648,4층",,,,,,,,,,비활성
대흥철물(유),고객업체 (판매),,,,,,,,,,,,,,,비활성
마로현자원,고객업체 (판매),,,,,,,,,,,,,,,비활성
(주)제일연마영남영업소,고객업체 (판매),,김지연,도소매,"연마석,연마지등",부산광역시 사상구 괘감로37 산업용품상사 15동118호,051-319-2960,051-319-2961,,,,,,,,비활성
삼성공업,고객업체 (판매),,,,,,,,,,,,,,,비활성
(주)삼성종합상사,고객업체 (판매),,박일병,도소매,"철물,건축자재","충남 아산시 탕정면 탕정면로 141-6,1층",041-541-8788,041-544-5464,,,,,,,,비활성
북면건설,고객업체 (판매),,,,,,,,,,,,,,,비활성
명창종합상사,고객업체 (판매),,임수환,도소매,"전동공구,철물,안전용품",대전광역시 대덕구 한밭대로 1011,042-626-9240,,,,,,,,,비활성
오성자원,고객업체 (판매),240111-6,김민수,도소매,"고철,비철",전라북도 익산시 오산면 장신리 121-1,,,,,,,,,,비활성
영진철물전기,고객업체 (판매),,김칠성,소매업,철물,대전광역시 유성구 관평동 1126,042-625-3962,042-936-3962,,,,,,,,비활성
행복종합상사 주식회사,고객업체 (판매),240108,이병학,도매,공구철물건재,세종특별자치시 조치원읍 허만석로 21,044-867-0094,044-867-0097,,,,,,,,비활성
일광기연,고객업체 (판매),,최홍석,도매업,연마지석다이아몬드공구,서울시 구로구 구로중앙로 197 4동 1층 117호,,,,,,,,,,비활성
한국상사,고객업체 (판매),,노순이,도소매매,안전용품등,"대전광역시 유성구 유성대로730번길 24, 23호",,,,,,,,,,비활성
대신산업,혼합 (판매+구매),,임환호,도소매,안전용품,전남 나주시 산포면 산남로 73,061-334-0369,061-334-0370,,,,,,,,비활성
유영찬제일철물,고객업체 (판매),,,,,전남 여수시 교동시장4길 3-1,061-662-1926,,,,,,,,,비활성
삼호산업,고객업체 (판매),,,,,,,,,,,,,,,비활성
주식회사환영엘케이,고객업체 (판매),,이종은,도매및소매업,그외기타건축자재도매업,경기도 안성시 일죽면 금일로 473-1,,,,,,,,,,비활성
(주)리오통상,고객업체 (판매),,이효식,도매및소매업,건축자재외,광주광역시 서구 하남대로 550번길 19-34,062-513-4523,062-713-5325,,,,,,,,비활성
미래공구주식회사 평택지점,고객업체 (판매),231215-3,김영인,도소매업,공구류및 산업용소모자재,경기도 평택시 지제동 692-9,031-651-0984~5,031-651-0988,,,,,,,,비활성
삼성음향,고객업체 (판매),,,,,,,,,,,,,,,비활성
최성환,고객업체 (판매),,,,,,,,,,,,,,,비활성
대영종합상사,고객업체 (판매),,주경순,도매업외,철물외,충청남도 공주시 신관로 67(신관동,,,,,,,,,,비활성
지붕나라(최안준),고객업체 (판매),,,,,,,,,,,,,,,비활성
(주)비에스텍,고객업체 (판매),,공태후,,,경북 경주시 천북면 오야리 천북지방산업단지 8블럭 비동,054-705-0108,054-705-0103,,,,,,,,비활성
주식회사 신성지엠씨,고객업체 (판매),,유회천,도소매매,"배관자재,피브이씨등등","서울특별시 동대문구 제기로67,301호",02-2232-5840,02-2232-5845,,,,,,,,비활성
김호섭,고객업체 (판매),,김호섭,,,경북 김천시 평화 후생2길 15 해뜨는집 202호,,,,,,,,,,비활성
신양철물,고객업체 (판매),,,,,,,,,,,,,,,비활성
김관수,혼합 (판매+구매),231127-2,김관수,"건설,도소매",조경공사,경남 김해시 진영읍 진영리 384-10 동림빌라 D동302호,,0504-384-8662,,,,,,,,비활성
성동물산,고객업체 (판매),,,,,,,,,,,,,,,비활성
대한용점플랜트,고객업체 (판매),,,,,,,,,,,,,,,비활성
주식회사 센트럴샵워시,고객업체 (판매),231117,조정영,"제조,건설,도소매매","세차장비,철구조물등",대전광역시 서구 복수동 858,,,,,,,,,,비활성
신화산업공구,고객업체 (판매),231115,노병대,소매업,"철물,안전",경남 진주시 진양호로293번길 11(신안동),,,,,,,,,,비활성
명주철물상사,고객업체 (판매),231110-2,유명숙,도소매,철물,강원도 동해시 묵호진동 95-6 1층,033-533-2578,033-533-0905,,,,,,,,비활성
럭키PVC배관,고객업체 (판매),231108,김대근,도매업외,자기타일외,"전라북도 정읍시 서부산업도로 352(연지동, 럭키PVC상사)",063-537-0633,063-538-047,,,,,,,,비활성
석문종합철물공구안전,혼합 (판매+구매),,강광희,도소매,공구외,충남 당진시 석문면 보덕포로 994-4,041-356-8986,041-356-8985,,,,,,,,비활성
한밭안전산업 주식회사,고객업체 (판매),,지영복,,,대전광역시 동구 대전천북로 58(삼성동),042-636-8811,042-636-8812,,,,,,,,비활성
(주)현대EGI,혼합 (판매+구매),,,,,대전광역시 동구 하소동 425-1,042-273-2263,042-273-2264,,,,,,,,비활성
쿠팡,고객업체 (판매),,이실경,,,광주광역시 남구 경열로78 세진종합철물,,,,,,,,,,비활성
송바람,고객업체 (판매),,,,,,,,,,,,,,,비활성
미래농업(남원),고객업체 (판매),,,,,,,,,,,,,,,비활성
삼영건재,고객업체 (판매),,,,,,,,,,,,,,,비활성
섬거철물,고객업체 (판매),,,,,,,,,,,,,,,비활성
형제공업사,고객업체 (판매),,,,,,,,,,,,,,,비활성
영양철물만돌이,고객업체 (판매),,,,,경북 영양군 영양읍 석영로1422,054-683-3252,054-683-3253,,,,,,,,비활성
유창공구,고객업체 (판매),,조동환,,,충남 논산시 강변로308번길 10,041-980-1571,,,,,,,,,비활성
주식회사한들아그로,고객업체 (판매),231016,백운선,도소매업,농약,전라남도 장흥군 장흥읍 평화우산길 13-5,,061-864-6338,,,,,,,,비활성
내방,고객업체 (판매),,,,,,,,,,,,,,,비활성
최한성,고객업체 (판매),,,,,,,,,,,,,,,비활성
(주)신탄공구종합상사,고객업체 (판매),,정기형,도소매,"공구,기구","대전광역시 대덕구 덕암로 238, 1층",042-932-0215,042-32-6215,,,,,,,,비활성
연무종합상사,고객업체 (판매),,이돈광,도매및소매업,유압호스,충남 논산시 연무읍 안심로 7-1,,,,,,,,,,비활성
태성건업,고객업체 (판매),,,,,,,,,,,,,,,비활성
한일종합건재상사,고객업체 (판매),,,,,충남 당진시 송산로 92,041-356-3612,041-356-3898,,,,,,,,비활성
컴장부,매입업체 (구매),,남기문,,,,,,,,,,,,,비활성
태평양철강,고객업체 (판매),230913-2,박성혁,"제조,도소매","금속구조물,철강류",1.강원도 속초시 영랑로4길 13 (영랑동) 2.속초시 대포동 947,033-635-6095,033-633-5127,,,,,,,,비활성
보절철물,고객업체 (판매),,,,,,,,,,,,,,,비활성
주식회사 동화기업,고객업체 (판매),230902,조용규,건설업,금속구조물창호,"충북 음성군 음성읍 예술로 11, 2층",043-872-0477,043-872-0377,,,,,,,,비활성
JK인터내셔널,혼합 (판매+구매),,조영관 외 1인,도소매외,,경기도 파주시 산남로231번가길 40-36(산남동),031-942-2926,031-8039-4460,,,,,,,,비활성
용전철물,고객업체 (판매),,,,,충남 예산군 고덕면 고덕중앙로 92,041-337-9788,041-337-9789,,,,,,,,비활성
광동기업사,고객업체 (판매),230825-1,지용현,소매,난방장치및보일러,충남 논산시 반월동 199-32,,,,,,,,,,비활성
(주)동신툴피아,매입업체 (구매),,,,,충청북도 청주시 청원군 오창읍 듀릉유리로113(심재리5-4),043-714-3579,043-218-8380,,,,,,,,비활성
삼원이앤씨(E&C),고객업체 (판매),,신광호,"도소매,건설업","전기자재,건설하도급,공구등등","부산광역시 남구 유엔평화화로10번길 62, 1층(대연동)",051-623-4042,051-623-4043,,,,,,,,비활성
박형수철거,고객업체 (판매),,,,,,,,,,,,,,,비활성
진 종합건축,고객업체 (판매),,,,,,,,,,,,,,,비활성
검정하우스,고객업체 (판매),,,,,,,,,,,,,,,비활성
우진종합상사,고객업체 (판매),230725-4,배진호,도소매,"공구,안전용품,전기자재등","대전시 대덕구 오정로89번길1,1층 102호",042-622-7076,042-622-7075,,,,,,,,비활성
삼보건재,고객업체 (판매),,,,,,,,,,,,,,,비활성
(유)진안 피브이씨 자재백화점,고객업체 (판매),,이성용,도소매,철물 기계공구,전북 진안군 진안읍 진장로  51-9,,,,,,,,,,비활성
대진종합철물건재,혼합 (판매+구매),,김연옥,도소매,건재 철물,충남 공주시 공주대학로 23-25. 1층(신관동),,,,,,,,,,비활성
신용공구,고객업체 (판매),,오선택,"도소매,제조업","공구,수공구,기계공구",경기도 부천시 소사구 경인로21(송내동 나동3호),032-651-9192,032-662-0945,,,,,,,,비활성
럭키종합건재,고객업체 (판매),,양천주,소매업,"철물,안전용품",전라북도 장수군 장수읍 장천로 254-3,063-351-5267,,,,,,,,,비활성
장계건재,혼합 (판매+구매),,박정순,,,전북 장수군 장계면 백화로 25,063-351-7200,,,,,,,,,비활성
돌산철물,고객업체 (판매),,,,,,,,,,,,,,,비활성
형제철물 유영찬,고객업체 (판매),,,,,,,,,,,,,,,비활성
성진배관,고객업체 (판매),,,,,,,,,,,,,,,비활성
금강하우징,고객업체 (판매),,변강수외1명,소매업외,철물외,대전광역시 대덕구 대청로 26(신탄진동),042-932-3566,042-931-6040,,,,,,,,비활성
한일농공,고객업체 (판매),,,,,,,,,,,,,,,비활성
명성건축,고객업체 (판매),,서우윤,건설업,건물및 구축물 해체공사업,"울산광역시 남구 중앙로 284,2층 (신정동)",,,,,,,,,,비활성
나루종합상사,고객업체 (판매),,김효정,도매및소매업,산업안전용품외,충청남도 당진시 송악읍 북부산업로 1050,041-970-7042,041-970-7041,,,,,,,,비활성
서부현대철물건재,고객업체 (판매),,민병춘,,,충남 홍성군 서부면 서부로 534,041-634-6270,,,,,,,,,비활성
금강데코조명,고객업체 (판매),230502,윤종규,도매및소매업,건축자재,충청남도 홍성군 홍성읍 충서로1301번길 28,,,,,,,,,,비활성
건영공구철물,고객업체 (판매),230428-1,황상원,소매,"철물,건재",경기도 파주시 검산로 2(검산동),031-944-8509,031-944-8609,,,,,,,,비활성
더이룸하우스,고객업체 (판매),,,,,,,,,,,,,,,비활성
신화종합상사,고객업체 (판매),,양진명,도소매,건축자재,충남 태안군 태안읍 동백로 346,041-674-9409,041-674-9408,,,,,,,,비활성
수안보철물,고객업체 (판매),,,,,,,,,,,,,,,비활성
대일포장방수,고객업체 (판매),,전상중,,,충남 홍성군 홍성읍 옥암리 21-1,041-632-0795,041-633-0795,,,,,,,,비활성
형제철물,혼합 (판매+구매),,,,,충북 청주시 상당구 미원면 미원시내1길 13,043-288-4506,043-287-4506,,,,,,,,비활성
금강하우스,고객업체 (판매),,,,,,,,,,,,,,,비활성
경진공구,혼합 (판매+구매),,김순영,도소매,철물,대전광역시 대덕구 대화로 160 15동 1층 114호,,,,,,,,,,비활성
보광샷시,고객업체 (판매),,,,,,,,,,,,,,,비활성
제일특수연마,혼합 (판매+구매),,황근규,,연마재총판,"부산광역시 사상구 광장로56번길 67,109호 (괘법동, 청마마이우스)",051-316-3211,051-312-3212,,,,,,,,비활성
대덕셀프(센트럴샾 세차타운),고객업체 (판매),,조정영,수리및 기타 개인서비스,자동차세차,대전광역시 서구 혜천로 24,,,,,,,,,,비활성
삼영유리,고객업체 (판매),,,,,,,,,,,,,,,비활성
주식회사 대정써포트,고객업체 (판매),,고대성,도소매,반도체관련제품,"경기도 안양시 동안구 엘에스로116번길 25-32,지하1층110호",031-360-0987,031-360-8577,,,,,,,,비활성
유일공구자재,고객업체 (판매),,박상진,,,경북 문경시 산양면 경서로 457,054-553-5533,054-555-0118,,,,,,,,비활성
모두다농자재,고객업체 (판매),,,,,,,,,,,,,,,비활성
주식회사 우경티앤씨,고객업체 (판매),,이대형,제조업,비철금속등,경기도 남양주시 양정로64(일패동),031-595-4861,031-595-4863,,,,,,,,비활성
(주)서보,고객업체 (판매),,김철,"도매,제조조","일반철물,기계제작등등",충남 태안군 원북면 발전로 83,041-674-0246,041-674-0245,,,,,,,,비활성
성진종합배관철물,고객업체 (판매),,,,,홍성,,,,,,,,,,비활성
국제그린빌드,고객업체 (판매),,이운형,,,충남 홍성군 홍성읍 충절로 773,041-631-6241,041-631-8253,,,,,,,,비활성
대성종합건재상사,고객업체 (판매),,이재욱,,,경북 안동시 대안로 36,054-852-2565,054-852-2956,,,,,,,,비활성
세림산업,고객업체 (판매),,,,,진천천,,,,,,,,,,비활성
태성에스피,고객업체 (판매),,정명준,"제조업,도소매","선박용부자재,산업용품부자재등등",포항시 남구 오천읍 문덕로 23번길 24-4,054-292-0497,054-292-0498,,,,,,,,비활성
동양강철,고객업체 (판매),,,,,,,,,,,,,,,비활성
대풍상사,고객업체 (판매),,최종운,,,충남 금산군 금산읍 비단로  173,,,,,,,,,,비활성
한국자원,고객업체 (판매),,,,,,,,,,,,,,,비활성
주식회사 광주배관,고객업체 (판매),,고재훈,"도소매,제조","배관자재,철물,기계공구",경기도 광주시 장지7길 3 (장지동),031-769-3737,031-768-3565,,,,,,,,비활성
(주)산동건철산업,혼합 (판매+구매),,이일주,도매외,건설공구외,충청남도 아산시 음봉면 음봉로 811,041-531-7780,041-532-3634,,,,,,,,비활성
논산자원,고객업체 (판매),,,,,,,,,,,,,,,비활성
(주)현대연마,매입업체 (구매),,신영완,도매,"연마제,환경안전제품",광주 북구 양산동 209-212,062-573-6867,062-572-6867,,,,,,,,비활성
성진전기철물,고객업체 (판매),,,,,경남 진주시 초전동 839-8,,,,,,,,,,비활성
바보철물,고객업체 (판매),,,,,,,,,,,,,,,비활성
장계철물건재상사,고객업체 (판매),,신재철,,각종철물PVC등,"전북 장수군 장계면,리 441-7",063-352-1391,,,,,,,,,비활성
거상철물,고객업체 (판매),,,,,경남 의령군 의령읍 의병로 205,055-573-7555,055-573-7556,,,,,,,,비활성
대명정밀,고객업체 (판매),,,,,,,,,,,,,,,비활성
금성철물,고객업체 (판매),,류근목,소매,철물,세종시 금남면 용포리  101,,,,,,,,,,비활성
일신철물,고객업체 (판매),,,,,,,,,,,,,,,비활성
정동철물건재,고객업체 (판매),,김근형,,,경북 군위군 군위읍 중앙길 135,054-383-2610,054-383-2611,,,,,,,,비활성
구로종합기계공구,혼합 (판매+구매),,이재규,,,대전광역시 서구 가수원동 764-2번지,042-538-0945,042-321-0849,,,,,,,,비활성
툴홀릭,매입업체 (구매),,김성찬,,,경기도 성남시 중원구 사기막골로 124 SKn테크노파크 비즈센터 704호,031-776-0987,031-776-0985,,,,,,,,비활성
구리(주)신흥이앤씨,고객업체 (판매),,박철용,,,경기도 구리시 사노동 400-10,031-575-5191,031-575-5196,,,,,,,,비활성
대경안전,고객업체 (판매),,,,,보령,,,,,,,,,,비활성
예당공구철물,고객업체 (판매),,최호섭,도소매,"호스,앵글외",충청남도 예산군 예산읍 충서로 812,,,,,,,,,,비활성
물탕철물건재,고객업체 (판매),,,,,충남 아산시 고도면 기곡로84번길 21-1,041-543-6824,041-542-6177,,,,,,,,비활성
금성공구마트,고객업체 (판매),,유현희외 1명,도매및소매,철물,세종특별자치시 금남면 용포로 97-7,044-863-6554,044-864-6552,,,,,,,,비활성
주식회사 하이메탈,고객업체 (판매),,김형호,도소매매,"고철, 비철금속",경기도 김포시 대곶면 대곶남로 354,031-986-4217,031-989-4217,,,,,,,,비활성
경남캐노픽스,고객업체 (판매),221221,권유비,제조업,"차양,금속구조물등등",경상남도 진주시 명석면 우수리 195-2,,,,,,,,,,비활성
이가철물,고객업체 (판매),,김은우,도매입소매,"철물,전기자재외","대전광역시 유성구 계룡로16번길 97, 1층 101호",042-532-1101,042-532-1102,,,,,,,,비활성
극동산업,고객업체 (판매),,,,,전북 진안군 진안읍 진무로 1210번지,063-433-0978,063-433-0979,,,,,,,,비활성
세신철물,고객업체 (판매),,,,,,,,,,,,,,,비활성
만복철물자재상사,고객업체 (판매),,김경숙,도소매,철물건자재,경남 통영시 원문로 37-40,055-644-1410,055-644-9599,,,,,,,,비활성
현대철물(줄포),고객업체 (판매),,,,,전북 부안군 줄포면면,,,,,,,,,,비활성
동일철물 아산,고객업체 (판매),,김태용,도소매,철물,충남 아산시 배방읍 갈산교로 72-6,041-548-7206,,,,,,,,,비활성
리오,고객업체 (판매),,,,,,,,,,,,,,,비활성
병수,고객업체 (판매),,,,,,,,,,,,,,,비활성
동양샤시,고객업체 (판매),,,,,,,,,,,,,,,비활성
와이에스(Y.es),고객업체 (판매),221201-1,,도매 잋 소매업,엔지니어링(토목),"경기도 용인시 기흥구 흥덕2로87번길 18 .B동 4층 456호(영덕동,이씨티)",,,,,,,,,,비활성
현대농자재마트,고객업체 (판매),,박재운외2명,도소매,"농약,농자재등등",충남 태안군 태안읍 인평길 117,,,,,,,,,,비활성
장우,고객업체 (판매),,,,,강원도 횡성군 둔내면 경강로 화동3길 33,,,,,,,,,,비활성
주식회사 이성특수중량,고객업체 (판매),,이승우,"서비스업,제조업등",장비이전등,청북 청주시 청원구 오창읍 신평중신길 39-25,043-287-1556,043-287-1555,,,,,,,,비활성
이지트러스트,고객업체 (판매),,추보빈,,,"서울특별시 구로구 디지털로 288,1212호(구로동,대륭포스트타워1차)",,,,,,,,,,비활성
가온렌탈공구,고객업체 (판매),,,,,경북 구미시 선산읍 선상서로 85,,,,,,,,,,비활성
유명철물,고객업체 (판매),,,,,,,,,,,,,,,비활성
엠케이종합산업,고객업체 (판매),221119,신문균,"도,소매외",철물외,충남 보령시 옥마로 442(화산동),,,,,,,,,,비활성
한빛철물마트,고객업체 (판매),,,,,경기도 고양시 덕양구 화신로234 백양빌딩1층 한빛철물마트,031-979-8297,,,,,,,,,비활성
완주 김영수,고객업체 (판매),,,,,,,,,,,,,,,비활성
대상건재.공구.안전,고객업체 (판매),,이용일,도소매,"철물,안전용품,수공구","충남 아산시 음봉면 음봉로 505-9,1호",,070-8720-3088,,,,,,,,비활성
명진자원,고객업체 (판매),,,,,,,,,,,,,,,비활성
모아상사,고객업체 (판매),221108-6,이주협,도소매매,"장갑,산업용품,안전용품품",충남 천안시 서북구 성거읍 모전1길 171-1,041-555-0319,041-555-0326,,,,,,,,비활성
전부다모아고물상,고객업체 (판매),,신동현현,,,경남 진주시 집현면 진산로 927,010-7737-6689,,,,,,,,,비활성
두리공구철물,고객업체 (판매),,유연식,도소매,공구 철물,강원도 원주시 석지1길 6,,,,,,,,,,비활성
대륙상사.,혼합 (판매+구매),,최정훈,소매업,"공구,철물",충남 금산군 금산읍 인삼로220,041-751-0966,,,,,,,,,비활성
가진현 사장님,고객업체 (판매),,,,,충남 태안군 태안읍 동문7길20 주공(아)102동704호호,,,,,,,,,,비활성
주원금속철물상사,고객업체 (판매),221028,강병권,제조업외,건축용자재외,충북 청주시 청원구 오창읍 팔결로 410,043-218-9998,043-218-2589,,,,,,,,비활성
다몬플러스,혼합 (판매+구매),,,,,,,,,,,,,,,비활성
(주)현대공조엔지니어링,고객업체 (판매),221027-3,강동구,제조업,공조설비,대전시 동구 판암로 75(판암동),,,,,,,,,,비활성
영광샤시,고객업체 (판매),,,,,,,,,,,,,,,비활성
(주)이우이엔지,고객업체 (판매),,,,,,,,,,,,,,,비활성
남향건재,혼합 (판매+구매),,안순덕,도소매업,건축자재,인천광역시 남동구 앵고개로 681(고잔동),032-446-7474,032-446-5930,,,,,,,,비활성
선농테크,고객업체 (판매),,홍진기,,"무인방제기,관비,관수시설등등",청주시 청원구 내수읍 은곡길 127-19,043-216-1134,043-218-1134,,,,,,,,비활성
희망농기계 남부총판,고객업체 (판매),,문기광광,,,광주 광산구 평동산단 7번로 92,,,,,,,,,,비활성
이메진하우스,고객업체 (판매),221011-2,설혜원,"건설,제조,소매매","실내인테리어,건축,금속창호등등",강원도 동해시 발한로 549 (초구동 1-1번지),033-535-0117,033-535-0141,,,,,,,,비활성
(주)한공건설,고객업체 (판매),,박대호,"건설,제조조",기계설비공사업업,울산광역시 울주군 청량읍 처용산업로 243-8,052-227-5890,052-227-5891,,,,,,,,비활성
제이엠코리아,고객업체 (판매),,윤종민,,,강원도 원주시 흥업면 사제로 209,,0504-081-7779,,,,,,,,비활성
연무농자재,고객업체 (판매),,김선식,,,경북 상주시 신봉동 483-3  3/1,,,,,,,,,,비활성
삼영정비,고객업체 (판매),,,,,,,,,,,,,,,비활성
충남설비,고객업체 (판매),220914,김영만,,,충남 논산시 시민로319번길 5-6(취암동),041-733-4398~9,041-736-8400,,,,,,,,비활성
원일상사,고객업체 (판매),,,,,,,,,,,,,,,비활성
일죽건재,고객업체 (판매),,,,,경기도 안성시 일죽면 하동길 25-2,,,,,,,,,,비활성
